Job Title,median_hourly_rate
City Light General Manager & CEO,254.79
Fire Chief,179.55
SPU General Manager & CEO,179.55
Seattle Police Chief,179.54
"Electric Utility Executive 3,Officer",170.28
Executive 4,150.43
"Electric Utility Executive 3,Director",140.975
Interim Chief Customer Officer,138.12
Mayor,130.93
Police Captain - Permanent Night,127.69
Police Captain - Violent Crime,127.69
Police Captain-Precinct,126.35
Electric Utility Executive 2,125.14
Police Captain,123.97
Police Captain - Traffic,121.59
"Fire Chief,Deputy Admin-80 Hrs",118.62
Executive Director and Chief Librarian,115.19
"Assistant CTO, Business Solutions",114.99
Executive 3,113.96
Hearing Examiner,112.16
